id,title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres
570670,The Invisible Man,7.129,5282,26/02/2020,144492724,124,7000000,22.738,"Thriller, Science Fiction, Horror"
762,Monty Python and the Holy Grail,7.797,5280,25/05/1975,1940906,91,400000,28.015,"Adventure, Comedy, Fantasy"
1573,Die Hard 2,6.923,5275,03/07/1990,240031094,124,70000000,35.157,"Action, Thriller"
50546,Just Go with It,6.673,5270,10/02/2011,214945591,117,80000000,43.196,"Comedy, Romance"
260514,Cars 3,6.853,5263,15/06/2017,383925276,102,175000000,62.961,"Animation, Adventure, Comedy, Family"
396422,Annabelle: Creation,6.6,5258,03/08/2017,306515884,110,15000000,53.098,"Horror, Mystery, Thriller"
9340,The Goonies,7.52,5254,07/06/1985,61389680,114,19000000,37.406,"Adventure, Comedy, Family"
527641,Five Feet Apart,8.287,5254,14/03/2019,92600000,116,7000000,29.178,"Romance, Drama"
426,Vertigo,8.18,5251,28/05/1958,7797728,128,2479000,28.086,"Mystery, Romance, Thriller"
861,Total Recall,7.284,5243,01/06/1990,261317921,113,65000000,25.031,"Action, Adventure, Science Fiction"
524,Casino,8.004,5240,22/11/1995,116112375,179,50000000,29.212,"Crime, Drama"
17431,Moon,7.57,5238,12/06/2009,9760104,97,5000000,20.346,"Science Fiction, Drama"
3170,Bambi,7,5236,14/08/1942,267447150,70,858000,43.491,"Animation, Drama, Family"
49529,John Carter,6.296,5225,07/03/2012,284139100,132,250000000,38.495,"Action, Adventure, Science Fiction"
507086,Jurassic World Dominion,6.787,5225,01/06/2022,1001978080,147,165000000,113.897,"Adventure, Action, Science Fiction"
72559,G.I. Joe: Retaliation,5.609,5217,27/03/2013,371876278,110,130000000,40.343,"Science Fiction, Adventure, Action, Thriller"
856,Who Framed Roger Rabbit,7.52,5216,21/06/1988,329803958,104,70000000,29.829,"Fantasy, Animation, Comedy, Crime"
545611,Everything Everywhere All at Once,7.822,5210,24/03/2022,139200000,140,25000000,64.278,"Action, Adventure, Science Fiction"
855,Black Hawk Down,7.368,5208,28/12/2001,172989651,145,92000000,36.7,"Action, History, War"
451048,Jungle Cruise,7.418,5199,28/07/2021,220889446,127,200000000,48.284,"Action, Adventure, Fantasy"
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.433,5193,02/12/2010,415686217,113,155000000,38.313,"Adventure, Family, Fantasy"
12162,The Hurt Locker,7.254,5187,10/10/2008,49230772,131,15000000,24.144,"Drama, Thriller, War"
338967,Zombieland: Double Tap,6.955,5187,09/10/2019,122801777,99,42000000,33.951,"Comedy, Horror"
117,The Untouchables,7.77,5181,03/06/1987,76270454,119,25000000,30.039,"Crime, Drama, History, Thriller"
307081,Southpaw,7.362,5178,24/03/2015,91709827,123,30000000,30.067,"Action, Drama"
1584,School of Rock,7.071,5173,03/10/2003,131095990,110,35000000,22.223,"Comedy, Music"
1624,Liar Liar,6.667,5163,21/03/1997,302710615,86,45000000,28.978,Comedy
2675,Signs,6.681,5144,02/08/2002,408247917,106,72000000,21.106,"Drama, Thriller, Science Fiction, Mystery"
105864,The Good Dinosaur,6.745,5143,14/11/2015,332207671,93,175000000,57.167,"Adventure, Animation, Family"
512195,Red Notice,6.803,5135,04/11/2021,178143,118,160000000,52.476,"Action, Comedy, Crime"
44833,Battleship,5.808,5134,11/04/2012,303025485,131,209000000,53.288,"Thriller, Action, Adventure, Science Fiction"
97020,RoboCop,5.847,5133,30/01/2014,242688965,118,120000000,32.422,"Science Fiction, Action, Crime, Thriller"
345920,Collateral Beauty,7.239,5122,15/12/2016,88528280,97,36000000,15.804,"Drama, Romance"
9654,The Italian Job,6.763,5113,30/05/2003,176070171,110,60000000,60.451,"Action, Crime"
630,The Wizard of Oz,7.571,5112,15/08/1939,33754967,102,2777000,44.236,"Adventure, Fantasy, Family"
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.129,5111,29/01/1964,9523464,95,1800000,18.253,"Drama, Comedy, War"
27576,Salt,6.398,5109,21/07/2010,293329073,100,110000000,31.472,"Action, Mystery, Thriller"
64635,Total Recall,6,5107,02/08/2012,198802074,118,125000000,29.009,"Action, Science Fiction, Thriller"
10386,The Iron Giant,7.925,5105,06/08/1999,23159305,86,70000000,41.39,"Family, Animation, Science Fiction, Drama"
251,Ghost,7.206,5103,13/07/1990,505000000,127,22000000,31.271,"Fantasy, Drama, Thriller, Mystery, Romance"
157353,Transcendence,6.029,5102,16/04/2014,103039258,119,100000000,20.628,"Thriller, Science Fiction, Drama, Mystery"
37710,The Tourist,6.178,5097,08/12/2010,278731369,103,100000000,25.174,"Action, Thriller, Romance"
4523,Enchanted,6.805,5088,20/11/2007,340487652,107,85000000,26.472,"Comedy, Family, Fantasy, Romance"
254470,Pitch Perfect 2,6.864,5084,07/05/2015,287506194,115,29000000,25.942,"Comedy, Music"
4553,The Machinist,7.52,5081,02/07/2004,8203235,101,5000000,15.629,"Thriller, Drama"
9532,Final Destination,6.6,5080,17/03/2000,112880294,98,23000000,35.867,Horror
1538,Collateral,7.213,5079,04/08/2004,217764291,120,65000000,22.492,"Drama, Crime, Thriller"
522627,The Gentlemen,7.678,5079,01/01/2020,115171795,113,22000000,31.06,"Comedy, Crime"
346698,Barbie,7.279,5074,19/07/2023,1428545028,114,145000000,1069.34,"Comedy, Adventure, Fantasy"
8077,Alien³,6.4,5066,22/05/1992,159773545,114,50000000,28.981,"Science Fiction, Action, Horror"
335787,Uncharted,7.002,5066,10/02/2022,407141258,116,120000000,79.542,"Action, Adventure"
10198,The Princess and the Frog,7.2,5062,08/12/2009,270997378,98,105000000,61.134,"Romance, Family, Animation"
613504,After We Collided,7.202,5051,02/09/2020,42000000,105,0,121.032,"Romance, Drama"
1579,Apocalypto,7.567,5049,07/12/2006,120673227,139,40000000,51.114,"Action, Drama, History"
